"","Timestamp","Age","t1","t2","t3","t4","t5","t6","t7","t8","t9","FirstType","FirstEssay","Code","firstNormal","firstFun","FUN_ANS1","FUN_A1","FUN_ANS2","FUN_A2","FUN_ANS3","FUN_A3","FUN_ANS4","FUN_A4","FUN_ANS5","FUN_A5","SAD_ANS1","SAD_A1","SAD_ANS2","SAD_A2","SAD_ANS3","SAD_A3","SAD_ANS4","SAD_A4","SAD_ANS5","SAD_A5","PrimEng","Female","RaceCode","DegreeCode","readTM","readBook","readSci","readMag","readProf","readNone","UsesGlasses","SpritzExp","FUN","SAD","Y","trt","FS"
"56","12/2/2014 1:27:52",24,4064,7429,177315,315011,34428,59656,98731,56134,72649,"Normal","Fun","i9is11",1,1,0,1,1,3,1,4,1,1,1,4,1,4,1,3,0,3,0,3,1,2,0,0,1,4,0,0,0,1,0,0,0,0,4,3,4,0,"FUN"
"57","12/2/2014 1:28:15",27,11394,8920,106720,48205,23694,27700,96200,48744,54441,"Normal","Fun","90iwmh",1,1,0,1,1,3,1,4,1,1,0,2,0,1,0,1,0,1,1,1,0,4,1,1,3,4,1,1,0,1,0,0,0,0,3,1,3,0,"FUN"
"58","12/2/2014 1:29:18",32,108438,427214,75112,30120,3463,29954,120539,26628,58647,"Normal","Fun","xtwxqc",1,1,0,1,1,3,0,0,0,3,1,4,1,4,1,3,1,2,1,1,0,3,0,0,1,4,0,1,0,1,0,0,0,0,2,4,2,0,"FUN"
"59","12/2/2014 1:29:55",33,3715,25472,35823,15835,7486,22960,96054,33074,24650,"Normal","Fun","mblpe6",1,1,1,2,1,3,0,0,1,1,1,4,1,4,0,4,0,3,0,2,1,2,1,0,6,6,1,0,0,0,1,0,1,0,4,2,4,0,"FUN"
"60","12/2/2014 1:32:47",37,369855,5179,253815,43748,3197,150566,102373,22979,33893,"Normal","Fun","49qtcm",1,1,0,1,1,3,0,0,0,3,1,4,1,4,1,3,0,3,1,1,0,3,0,1,1,6,1,1,1,1,0,0,1,0,2,3,2,0,"FUN"
"61","12/2/2014 1:35:50",26,3964,6941,140435,75859,18761,30846,109200,73156,40092,"Normal","Fun","bo5z5v",1,1,0,1,1,3,1,4,1,1,1,4,0,2,0,1,0,3,1,1,1,2,1,0,1,5,1,1,1,1,0,0,0,0,4,2,4,0,"FUN"
"62","12/2/2014 1:46:32",34,6888,8138,74389,61948,15908,26068,100912,35738,107183,"Normal","Fun","6hekjl",1,1,1,2,0,2,1,4,1,1,1,4,1,4,0,1,0,1,1,1,0,3,1,1,2,6,1,0,0,0,0,0,1,0,4,2,4,0,"FUN"
"63","12/2/2014 1:47:50",37,5743,10615,114846,173168,24607,28328,100216,57613,79720,"Normal","Fun","xdj0bm",1,1,0,1,1,3,1,4,1,1,1,4,1,4,0,1,1,2,0,4,0,1,1,0,1,5,1,1,0,1,1,0,1,0,4,2,4,0,"FUN"
"64","12/2/2014 1:48:41",23,31810,3538,19222,19405,4480,5986,10212,48213,22889,"Normal","Fun","4i8zqu",1,1,1,2,1,3,0,0,1,1,0,1,0,1,1,3,0,1,1,1,1,2,1,0,6,3,1,1,0,0,1,0,1,0,3,3,3,0,"FUN"
"65","12/2/2014 1:49:18",24,73489,10116,225856,196309,21087,59547,143774,58432,72732,"Normal","Fun","g4mgcm",1,1,1,2,1,3,1,4,1,1,1,4,0,2,0,1,0,4,1,1,0,3,1,0,1,5,1,1,1,1,1,0,1,0,5,1,5,0,"FUN"
